timestamp,rig_id,hour,day,day_of_week,base_load,power_consumption,temperature,vibration,pressure,flow_rate,bearing_temperature,operational_mode,failure_indicator,failure_flag,estimated_rul
2026-01-01T00:00:00Z,RIG-ALPHA-01,0,1,Thursday,12.5,13.1,62.3,0.21,1820,14.8,68.5,NORMAL,0.05,0,480
2026-01-01T01:00:00Z,RIG-ALPHA-01,1,1,Thursday,12.5,13.2,62.6,0.22,1818,14.7,68.9,NORMAL,0.05,0,479
2026-01-01T02:00:00Z,RIG-ALPHA-01,2,1,Thursday,12.5,13.3,62.9,0.22,1815,14.7,69.3,NORMAL,0.06,0,478
2026-01-01T03:00:00Z,RIG-ALPHA-01,3,1,Thursday,12.5,13.4,63.2,0.23,1812,14.6,69.7,NORMAL,0.06,0,477
2026-01-01T04:00:00Z,RIG-ALPHA-01,4,1,Thursday,12.5,13.6,63.6,0.24,1808,14.6,70.4,HIGH_LOAD,0.08,0,475
2026-01-01T05:00:00Z,RIG-ALPHA-01,5,1,Thursday,12.5,13.9,64.1,0.26,1802,14.5,71.2,HIGH_LOAD,0.10,0,472
2026-01-01T06:00:00Z,RIG-ALPHA-01,6,1,Thursday,12.5,14.2,64.8,0.28,1796,14.4,72.1,HIGH_LOAD,0.12,0,468
2026-01-01T07:00:00Z,RIG-ALPHA-01,7,1,Thursday,12.5,14.6,65.6,0.31,1789,14.2,73.4,HIGH_LOAD,0.15,0,463
2026-01-01T08:00:00Z,RIG-ALPHA-01,8,1,Thursday,12.5,15.1,66.4,0.34,1780,14.0,74.9,HIGH_LOAD,0.20,0,456
2026-01-01T09:00:00Z,RIG-ALPHA-01,9,1,Thursday,12.5,15.7,67.3,0.38,1768,13.7,76.8,HIGH_LOAD,0.28,0,447
2026-01-01T10:00:00Z,RIG-ALPHA-01,10,1,Thursday,12.5,16.4,68.5,0.43,1755,13.3,79.1,HIGH_LOAD,0.38,0,435
2026-01-01T11:00:00Z,RIG-ALPHA-01,11,1,Thursday,12.5,17.2,69.9,0.49,1740,12.9,82.0,HIGH_LOAD,0.50,0,420
2026-01-01T12:00:00Z,RIG-ALPHA-01,12,1,Thursday,12.5,18.1,71.6,0.56,1722,12.4,85.6,HIGH_LOAD,0.65,0,400
2026-01-01T13:00:00Z,RIG-ALPHA-01,13,1,Thursday,12.5,19.2,73.8,0.64,1700,11.8,89.9,HIGH_LOAD,0.78,0,375
2026-01-01T14:00:00Z,RIG-ALPHA-01,14,1,Thursday,12.5,20.4,76.3,0.73,1675,11.1,95.2,HIGH_LOAD,0.88,0,340
2026-01-01T15:00:00Z,RIG-ALPHA-01,15,1,Thursday,12.5,21.8,79.4,0.83,1642,10.4,101.6,HIGH_LOAD,0.93,0,290
2026-01-01T16:00:00Z,RIG-ALPHA-01,16,1,Thursday,12.5,23.5,83.2,0.94,1605,9.6,109.1,HIGH_LOAD,0.97,0,220
