timestamp,rig_id,equipment,operational_mode,power_kw,vibration_rms,temperature_c,bearing_temp_c,pressure_psi,flow_rate_m3h,rotational_speed_rpm,energy_deviation,anomaly_score,failure_indicator,failure_flag,estimated_rul_hours
2026-02-01 00:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,820,0.18,61.2,68.4,3100,14.6,1100,0.03,0.05,0.04,0,420
2026-02-01 01:00:00+00:00,RIG-CRIT-01,TopDrive,NORMAL,825,0.19,61.8,69.1,3095,14.5,1110,0.04,0.06,0.05,0,418
2026-02-01 02:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,860,0.24,63.5,71.8,3070,14.3,1180,0.08,0.12,0.1,0,405
2026-02-01 03:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,910,0.31,66.2,75.9,3030,13.9,1250,0.14,0.2,0.18,0,390
2026-02-01 04:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,980,0.42,69.8,82.4,2970,13.2,1320,0.22,0.38,0.32,0,360
2026-02-01 05:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1060,0.56,74.6,90.7,2880,12.4,1380,0.33,0.58,0.55,0,310
2026-02-01 06:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1150,0.71,79.8,99.2,2760,11.6,1420,0.47000000000000003,0.76,0.72,0,250
2026-02-01 07:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1230,0.88,85.9,108.6,2600,10.7,1450,0.61,0.9,0.88,0,180
2026-02-01 08:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1310,1.02,91.7,117.4,2420,9.8,1480,0.74,0.97,0.96,0,90
2026-02-01 09:00:00+00:00,RIG-CRIT-01,TopDrive,HIGH_LOAD,1390,1.21,98.5,126.8,2200,8.9,1500,0.89,1.0,1.0,1,0
